n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,ablation
240,ok,0.05042294172333354,0.1286951651597795,0.0010669859334728748,0.7524752475247525,0.052742814234808616,A45,include_artifact_flagged_trials
240,ok,0.5958913802238262,0.25327220193626687,0.005624905649625589,0.49504950495049505,0.5962723290976699,B69,include_artifact_flagged_trials
240,ok,0.5131215859120687,1.0837875035670963,0.0023870455939045687,0.7722772277227723,0.5349371227534327,B73,include_artifact_flagged_trials
240,ok,0.8813569092734064,1.0657053175949378,0.0071021503272614694,0.009900990099009901,0.5553434815578108,B77,include_artifact_flagged_trials
240,ok,0.5603473988856662,0.6001577092912151,0.00845105392475809,0.04950495049504951,0.5015177130108529,B81,include_artifact_flagged_trials
240,ok,0.21368148052624633,0.0927980562799487,0.012501237318016445,0.6732673267326733,0.21895872906335107,C85,include_artifact_flagged_trials
240,ok,0.41235791934583443,1.734894680137243,0.0011699781408129883,0.8910891089108911,0.4320062632839681,A2,include_artifact_flagged_trials
240,ok,1.9800281253098437,0.7919989997949721,0.0016996641121261868,0.009900990099009901,1.9561195157534126,A6,include_artifact_flagged_trials
240,ok,1.4248568088178666,1.392120693456452,0.0009595620827723694,1.0,1.640127266710739,A14,include_artifact_flagged_trials
240,ok,0.3158698419113821,2.439094353730953,0.0012743035199538344,1.0,0.3319011973898529,A18,include_artifact_flagged_trials
240,ok,0.2987087853283021,0.2795864956212687,0.0034432425433978953,0.13861386138613863,0.28471655908932886,A22,include_artifact_flagged_trials
240,ok,1.0328795746685508,0.5547516938732117,0.0022078935127175514,0.009900990099009901,1.0136651458881478,A26,include_artifact_flagged_trials
240,ok,0.6939653628091961,0.8346519402723417,0.004423601607928651,0.8712871287128713,0.7024017860917869,A34,include_artifact_flagged_trials
240,ok,1.5702183366584708,1.9471748744606974,0.0012295522963950978,0.019801980198019802,1.553009343435537,A38,include_artifact_flagged_trials
240,ok,0.10143362707341783,0.13360364240450356,0.004907629469193209,0.5742574257425742,0.10473391747782274,A42,include_artifact_flagged_trials
240,ok,0.10670828555960847,0.11749676003621098,0.004552036714281726,0.21782178217821782,0.10258910702877361,A50,include_artifact_flagged_trials
240,ok,0.06828326689588346,0.4414491822005694,0.005227738825593686,0.5148514851485149,0.07598554244537506,A54,include_artifact_flagged_trials
240,ok,0.7687112619776827,0.3223895590020266,0.005780135890303684,0.009900990099009901,0.7033412808515759,B62,include_artifact_flagged_trials
240,ok,0.5144047414953963,0.5291494537844142,0.005597447318810844,0.009900990099009901,0.3844191441550365,B66,include_artifact_flagged_trials
240,ok,0.5258513023504474,0.8385148911863742,0.0051321959641643655,0.019801980198019802,0.4997278019754024,B74,include_artifact_flagged_trials
