subject,dataset,validity_label,observed_status,observed_gap,h1b_common_shift_removed_status,h1b_common_shift_removed_gap,time_control_gap,permutation_subject_mean,permutation_subject_sd,random_subject_mean,random_subject_sd,n_permutation_failures,n_random_failures,n_valid_trials,n_train_parity,n_test_parity,config_hash,seed
B78,B,full_predeclared_inference,ok,-0.0014612173148759178,ok,-0.023479201527982052,0.014963972431077666,-0.001095101683029353,0.058525829374613175,-0.004891869441127318,0.05932814007036047,0,0,239,120,119,e90eda294b47248d,77112950
C82,C,full_predeclared_inference,ok,-0.11629629629629629,ok,-0.1316203703703704,0.018179235518496817,-0.002088008033563588,0.07951791737167903,0.0023346761664279265,0.07763326510416613,0,0,240,120,120,e90eda294b47248d,4175038021
A3,A,full_predeclared_inference,ok,-0.007936507936507964,ok,-0.009994337627716565,0.06746157019754834,-0.001950455756469757,0.04646438856001184,-0.0007457425405109928,0.04811911645066587,0,0,240,120,120,e90eda294b47248d,4173700843
A15,A,full_predeclared_inference,ok,0.03737183868762817,ok,0.03643198906356798,-0.04243493989963826,-0.0022987188186415833,0.060520508094102636,-0.001005326768903385,0.061264747629152204,0,0,240,120,120,e90eda294b47248d,4014876205
A19,A,full_predeclared_inference,ok,-0.03207831543556078,ok,-0.019946596524788807,0.02795330018312231,-0.0023349118039138494,0.04400246911364211,0.00037925426053724844,0.043070638892702365,0,0,240,120,120,e90eda294b47248d,459324907
A23,A,full_predeclared_inference,ok,-0.03935421994884908,ok,-0.020748081841432175,0.11104582843713279,-0.0014758629563873282,0.0705398408905979,0.0006757885399970211,0.06735967138251832,0,0,240,120,120,e90eda294b47248d,2088825366
A27,A,full_predeclared_inference,ok,-0.05665775401069523,ok,-0.05986631016042779,-0.031135531135531136,-0.0047813594493941935,0.08064737142008573,-0.0022877203313638726,0.08094264188260884,0,0,238,118,120,e90eda294b47248d,208683988
A31,A,full_predeclared_inference,ok,-0.049886872709172414,ok,-0.0824147397318129,-0.006431256431256471,-0.0017097591630767766,0.07344245759821508,-0.0042888236862025945,0.07411373625394997,0,0,238,119,119,e90eda294b47248d,566309351
A35,A,full_predeclared_inference,ok,0.045995370370370325,ok,0.04125000000000001,-0.03500000000000003,0.0002654083171317697,0.05072465495777597,-0.0024791669195891063,0.05246672214264833,0,0,240,120,120,e90eda294b47248d,1396379775
A43,A,full_predeclared_inference,ok,-0.01991125609456662,ok,0.10590515275877796,0.07081728712023966,-0.004915364626777646,0.07208725438374726,-0.000481190139658741,0.07436572910682895,0,0,239,120,119,e90eda294b47248d,3293623943
A51,A,full_predeclared_inference,ok,-0.026111736560653076,ok,0.12238601182099634,-0.09679716363342644,0.000995343785383945,0.06569478078188909,0.005415674238062664,0.06622950221006184,0,0,240,120,120,e90eda294b47248d,102196262
A55,A,full_predeclared_inference,ok,0.04114812591703343,ok,-0.025913698812858488,0.010638227513227516,-0.0016343784246758352,0.06413735980874417,-0.004225142142194718,0.06603335443064229,0,0,240,120,120,e90eda294b47248d,810676793
B63,B,full_predeclared_inference,ok,-0.18377855207123506,ok,-0.19861859008200475,-0.1180542820465798,0.0006910677033007497,0.07350929606396467,0.0015070386913609494,0.07692987224344651,0,0,238,118,120,e90eda294b47248d,3614800885
B67,B,full_predeclared_inference,ok,0.06994949494949498,ok,0.08011363636363644,0.008125000000000049,0.0020248332575530143,0.07676019381704068,0.00170631795941258,0.07535180454040365,0,0,239,119,120,e90eda294b47248d,1643660876
B79,B,full_predeclared_inference,ok,-0.07785853553428879,ok,-0.07804772941071358,0.021118927368927343,-0.0009251100087948114,0.04032436394641591,-0.0011118842695011053,0.04206183353410707,0,0,237,119,118,e90eda294b47248d,2152943504
C83,C,full_predeclared_inference,ok,0.05380098672781597,ok,0.056148684197464716,-0.08123947811447813,-0.00072900532664051,0.07004586370740587,-0.004190064905567778,0.06956816033870078,0,0,239,120,119,e90eda294b47248d,2108037234
