subject,component,feature,loading,explained_variance_ratio,latent_dimension
A33,1,blink_amplitude,0.3809537446834977,0.6681703580908235,1
A33,1,blink_event_count,0.1451079616151941,0.6681703580908235,1
A33,1,emg_rms_20_45hz,0.4064689055513793,0.6681703580908235,1
A37,1,posterior_alpha_logpower,0.4193458862326029,0.624468371139752,1
A37,1,frontal_midline_theta_logpower,0.41934482213461255,0.624468371139752,1
A37,1,aperiodic_offset,0.41828503679358553,0.624468371139752,1
A37,1,aperiodic_exponent,-0.0022445649594770396,0.624468371139752,1
A37,1,alpha_peak_hz,-0.0110151656792844,0.624468371139752,1
A37,1,slow_eye_logpower,0.4194330983603948,0.624468371139752,1
A37,1,blink_amplitude,0.4088096484439748,0.624468371139752,1
A37,1,blink_event_count,0.03575119685166205,0.624468371139752,1
