subject,dataset,latent_dimension,component,validity_label,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap
B69,B,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.5958913802238262,0.253272201936267,0.005624905649625367,0.3784860557768924,0.5948521772640736,0.9521367521367521,0.9037037037037037,0.7814814814814814,0.8,ok,0.014957264957264904
B73,B,2,1,fixed_dimension_sensitivity_ablation,238,ok,0.5192947473089423,1.0728501833881043,0.0012507249100148776,0.8047808764940239,0.5431963789984655,0.9247311827956989,0.9423076923076923,0.9487179487179487,0.8402457757296466,ok,0.04544783173815431
B77,B,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.8873675542236026,1.0631326900191687,0.007172386148017518,0.00398406374501992,0.5579134940603724,0.6437246963562753,0.6985871271585558,0.5321821036106751,0.47638326585695,ok,0.00046820347572229526
B81,B,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.5603473988856663,0.6001577092912157,0.00845105392475809,0.043824701195219126,0.5009562842060659,0.4585365853658537,0.5181818181818182,0.6625,0.2634146341463415,ok,0.169720066518847
C85,C,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.21368148052624628,0.0927980562799487,0.012501237318016667,0.6932270916334662,0.21829087769702468,0.6685606060606061,0.5482625482625483,0.5135135135135134,0.6357323232323232,ok,-0.0009603759603760142
A2,A,2,1,fixed_dimension_sensitivity_ablation,238,ok,0.41517748851553304,1.740516112113881,0.0011276976498861835,0.7609561752988048,0.42875171275789187,0.5662393162393162,0.6046511627906976,0.5431893687707642,0.5373931623931624,ok,-0.0163078200868898
A6,A,2,1,fixed_dimension_sensitivity_ablation,238,ok,2.0120701361650606,0.7939791213254236,0.001605004534777521,0.00398406374501992,1.9885932910092379,0.766367137355584,0.6471631205673759,0.7411347517730497,0.6572528883183568,ok,0.10154294012145049
A14,A,2,1,fixed_dimension_sensitivity_ablation,236,ok,1.5091925812221283,1.3325132552266226,0.0008999700837114544,1.0,1.707202997644833,0.5311653116531165,0.49736842105263157,0.5460526315789475,0.47289972899728994,ok,0.05347489659107124
A18,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.3158698419113821,2.4390943537309564,0.0012743035199536124,1.0,0.33151899499369536,0.6203007518796992,0.882063882063882,0.8710073710073709,0.738095238095238,ok,-0.06442549863602492
A22,A,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.31094352046433266,0.2796143165630984,0.003582335362024569,0.15139442231075698,0.2977278214734505,0.5928571428571429,0.8394736842105263,0.838157894736842,0.7869047619047619,ok,-0.09768170426065165
A26,A,2,1,fixed_dimension_sensitivity_ablation,237,ok,1.059945127864264,0.5678655764528399,0.002269534428817499,0.00398406374501992,1.040432023192113,0.5916666666666667,0.7097532314923619,0.708578143360752,0.6869047619047619,ok,-0.048206591684852584
A34,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.693965362809196,0.8346519402723414,0.004423601607928651,0.8804780876494024,0.7017978296966678,0.5372023809523809,0.782608695652174,0.45819397993311034,0.5208333333333334,ok,-0.15402283405000802
A38,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,1.5702183366584737,1.9471748744606978,0.0012295522963953198,0.043824701195219126,1.5517346574804782,0.592436974789916,0.625,0.7208333333333333,0.6176470588235294,ok,0.03531162464985993
A42,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.10143362707341784,0.13360364240450354,0.004907629469193098,0.5537848605577689,0.10484991126548193,0.6000000000000001,0.3850340136054422,0.6993197278911565,0.5046153846153847,ok,0.20483516483516484
A50,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.10670828555960843,0.117496760036211,0.004552036714281504,0.20717131474103587,0.10293277586215366,0.5426356589147288,0.4880952380952381,0.6106442577030812,0.6098191214470283,ok,0.027682778537771763
A54,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.06828326689588349,0.44144918220056883,0.005227738825593464,0.549800796812749,0.07458343689101042,0.4855769230769231,0.5283333333333332,0.5700000000000001,0.4555288461538462,ok,0.03585737179487186
B62,B,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.7712492290918773,0.3205879785647334,0.005732972767134914,0.00398406374501992,0.7063666902985184,0.8535714285714286,0.7655826558265583,0.8672086720867209,0.8988095238095238,ok,0.028193960511033733
B66,B,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.5397213860541219,0.5173377609088088,0.004755950038076384,0.00398406374501992,0.3858288102023367,0.5406976744186046,0.44565217391304346,0.5062111801242236,0.6962209302325582,ok,-0.047482124801386694
B74,B,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.5258513023504475,0.8385148911863743,0.0051321959641643655,0.0199203187250996,0.5008174279484428,0.6936090225563909,0.7481684981684982,0.6877289377289377,0.38721804511278196,ok,0.12297570850202424
B78,B,2,1,fixed_dimension_sensitivity_ablation,239,ok,1.3191215866876007,1.5199533478940044,0.0015718392413369697,0.043824701195219126,1.2915119942754278,0.7788617886178861,0.7900207900207901,0.7006237006237006,0.689430894308943,ok,1.6902455926837145e-05
C82,C,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.9061850322460282,0.31875572333135554,0.002299559900025283,1.0,0.9395823009205351,0.53125,0.5792592592592593,0.42666666666666664,0.61125,ok,-0.11629629629629629
A3,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.6257649526627266,1.2783204299625504,0.003327606046691689,1.0,0.6937930181011298,0.9291819291819291,0.8426812585499316,0.8426812585499316,0.945054945054945,ok,-0.007936507936507964
A15,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,1.1717059438146882,0.3710039996481945,0.003942151269873406,0.2549800796812749,1.1705295651937104,0.6974025974025975,0.7057416267942584,0.6973684210526316,0.6142857142857143,ok,0.03737183868762817
A19,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.8581640887542186,1.8371654193451243,0.0033930182837140777,0.01195219123505976,0.8562551739318188,0.8753387533875339,0.9451871657754011,0.9799465240641712,0.9742547425474255,ok,-0.03207831543556078
A23,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.2371609289399504,0.7875991181722801,0.0012492464751384658,0.00796812749003984,0.1771237540816689,0.7173913043478262,0.8260869565217391,0.7141304347826086,0.6841432225063938,ok,-0.03935421994884908
A27,A,2,1,fixed_dimension_sensitivity_ablation,238,ok,1.4069827661374514,0.73637080524746,0.004570704678917181,0.9840637450199203,1.4145425372979843,0.45588235294117646,0.5658823529411765,0.39647058823529413,0.4037433155080214,ok,-0.05863636363636365
A31,A,2,1,fixed_dimension_sensitivity_ablation,238,ok,0.7316119598550778,1.3330967315122375,0.0019245622913139915,0.035856573705179286,0.7188858529190684,0.573170731707317,0.673469387755102,0.5414965986394559,0.5299334811529933,ok,-0.04436776928066122
A35,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,1.2833918366416224,2.083084470124524,0.0024555397044192517,0.06374501992031872,1.2810251534234383,0.92125,0.8738425925925927,0.8645833333333333,0.82,ok,0.045995370370370325
A43,A,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.1626861754328611,0.25727045481169974,0.014188151127210502,0.2948207171314741,0.16198418878509707,0.5923392612859097,0.6506410256410255,0.6826923076923077,0.5540355677154583,ok,0.035177487810866825
A51,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.05748225876651751,0.2410502571466317,0.003916235236983923,0.5577689243027888,0.06591433084759508,0.5434210526315789,0.5588235294117647,0.5013368983957218,0.5381578947368422,ok,-0.026111736560653076
A55,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.12105187864292477,0.45438010492025493,0.05425462742420406,0.10756972111553785,0.11084265634180482,0.6848072562358276,0.5779411764705882,0.6352941176470588,0.6598639455782314,ok,0.04114812591703343
B63,B,2,1,fixed_dimension_sensitivity_ablation,238,ok,0.5934187673611109,0.8245725382851459,0.009125649281221726,0.08764940239043825,0.5583131984476887,0.40476190476190477,0.6086474501108647,0.4368070953436807,0.5920634920634921,ok,-0.17957097103438568
B67,B,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.6294867083061495,0.42306039290872904,0.007117829451329105,0.00398406374501992,0.37429399988647827,0.6792929292929293,0.6277777777777778,0.6930555555555556,0.5303030303030303,ok,0.10713383838383844
B79,B,2,1,fixed_dimension_sensitivity_ablation,237,ok,0.8750386415629551,1.6468110223792116,0.003672509488374498,0.9243027888446215,0.8998086662551439,0.7918552036199095,0.8977932636469222,0.8803716608594657,0.9336349924585219,ok,-0.07960069581303447
C83,C,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.09497929684719418,0.14363817463891054,0.00945009602883018,0.6454183266932271,0.09764943857751802,0.5638792102206736,0.5178062678062678,0.6168091168091168,0.5998838559814169,ok,0.031499101621052794
C87,C,2,1,fixed_dimension_sensitivity_ablation,238,ok,0.4996525493225785,0.3695206903836469,0.00738475142556172,0.00398406374501992,0.3782460277879722,0.8532818532818534,0.6039952996474736,0.6498237367802585,0.8056628056628057,ok,0.04672374237591631
A4,A,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.43582081477403756,2.138590358658033,0.0033216870956873645,0.2868525896414343,0.4319868660587424,0.5852941176470589,0.5234042553191489,0.46382978723404256,0.6352941176470589,ok,-0.0547872340425532
A8,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.5596142820103757,2.0274905371956455,0.0020506452133516317,0.00398406374501992,0.47425540282949397,0.6210670314637483,0.5482295482295483,0.5384615384615384,0.682626538987688,ok,-0.035663758645974764
A12,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,1.0709786816207074,0.6286750524568266,0.0008275645384583363,0.896414342629482,1.1014022899989926,0.6394557823129251,0.5339366515837104,0.5007541478129713,0.4884353741496599,ok,0.058918952196263086
A16,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.3839502543404405,2.1790812514571374,0.0009466255246698418,0.9163346613545816,0.413913250417316,0.712962962962963,0.5686777920410783,0.5096277278562259,0.4880952380952381,ok,0.08290883034143628
A20,A,2,1,fixed_dimension_sensitivity_ablation,237,ok,0.4887035485081855,1.288856445137751,0.005525599647799084,0.6533864541832669,0.4911545772130694,0.8534850640113797,0.9015384615384616,0.8999999999999999,0.7823613086770982,ok,0.034792646897909896
A40,A,2,1,fixed_dimension_sensitivity_ablation,232,ok,0.46092576959132414,1.0686026662450006,0.0034854942182002135,0.6573705179282868,0.46437859420180616,0.668918918918919,0.31025641025641026,0.6294871794871795,0.5689189189189189,ok,0.20961538461538465
A44,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.07576333089393321,0.2613535987737158,0.006816430129094719,0.8047808764940239,0.08882687266114493,0.6416666666666666,0.5726190476190476,0.6291666666666667,0.6027777777777779,ok,0.04771825396825391
A48,A,2,1,fixed_dimension_sensitivity_ablation,239,ok,0.21034767563727783,0.451743033242864,0.017796241779585054,0.3545816733067729,0.20090500821923635,0.499375,0.534688995215311,0.6889952153110048,0.6575,ok,-0.0019093899521530622
A52,A,2,1,fixed_dimension_sensitivity_ablation,237,ok,0.12519278614673995,0.19587261792250893,0.0043788745484093505,0.649402390438247,0.12809745310170867,0.5710928319623971,0.4786967418546365,0.6221804511278197,0.48883666274970616,ok,0.11286993924293709
A56,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.1492060945155655,0.48603170358080516,0.039286043054307385,0.06772908366533864,0.12360770081326287,0.5440476190476191,0.5614035087719298,0.5614035087719298,0.5785714285714284,ok,-0.017261904761904645
A60,A,2,1,fixed_dimension_sensitivity_ablation,240,ok,0.06614997539441757,0.24585452841700586,0.006374557335548259,0.3784860557768924,0.06676479125167836,0.44782608695652176,0.3252032520325203,0.42818428184281837,0.508695652173913,ok,0.02105573229645341
B64,B,2,1,fixed_dimension_sensitivity_ablation,238,ok,0.37925933112814186,0.7834046451829939,0.0037426854359249306,0.3745019920318725,0.37655214314550983,0.6802721088435374,0.46210526315789474,0.42105263157894735,0.5850340136054422,ok,0.02709273182957392
