subject,dataset,baseline,n_train,n_test,accuracy,error
A40,A,Tangent_logreg,152.0,80.0,0.5875,
A40,A,engineered_sensorimotor_logreg,152.0,80.0,0.5,
A41,A,CSP_LDA,160.0,80.0,0.525,
A41,A,FBCSP_proxy_logreg,160.0,80.0,0.5125,
A41,A,Riemannian_MDM,160.0,80.0,0.525,
A41,A,Tangent_logreg,160.0,80.0,0.5125,
A41,A,engineered_sensorimotor_logreg,160.0,80.0,0.6375,
A42,A,CSP_LDA,160.0,80.0,0.5625,
A42,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A42,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A42,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A42,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A43,A,CSP_LDA,160.0,80.0,0.575,
A43,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A43,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A43,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A43,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A44,A,CSP_LDA,160.0,80.0,0.675,
A44,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A44,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A44,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A44,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A45,A,CSP_LDA,160.0,80.0,0.5625,
A45,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A45,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A45,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A45,A,engineered_sensorimotor_logreg,160.0,80.0,0.5,
A46,A,CSP_LDA,160.0,80.0,0.5125,
A46,A,FBCSP_proxy_logreg,160.0,80.0,0.5,
A46,A,Riemannian_MDM,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
A46,A,Tangent_logreg,,,,ValueError('Matrices must be positive definite. You should add regularization to avoid this error.')
