subject,control,repeat,low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap
A41,observed_state,0,0.6531713900134952,0.5910931174089069,0.708502024291498,0.6099865047233468,ok,0.08029689608636975
A41,within_run_state_permutation,0,0.6816816816816816,0.6487804878048781,0.5902439024390244,0.6606606606606606,ok,-0.01875778217241636
A41,within_run_trial_index,0,0.7104072398190044,0.5567765567765568,0.6251526251526252,0.5595776772247361,ok,0.10960281548516837
A41,random_within_run_split,0,0.6213450292397661,0.6575000000000001,0.7074999999999999,0.6008771929824561,ok,0.035233918128654895
A41,within_run_state_permutation,1,0.6301169590643274,0.58875,0.535,0.6301169590643275,ok,-0.026875000000000038
A41,within_run_trial_index,1,0.7104072398190044,0.5567765567765568,0.6251526251526252,0.5595776772247361,ok,0.10960281548516837
A41,random_within_run_split,1,0.5925925925925926,0.7047619047619047,0.75,0.6203703703703703,ok,0.008730158730158755
A41,within_run_state_permutation,2,0.6152777777777778,0.5991735537190083,0.6349862258953168,0.6069444444444445,ok,0.022073002754820936
A41,within_run_trial_index,2,0.7104072398190044,0.5567765567765568,0.6251526251526252,0.5595776772247361,ok,0.10960281548516837
A41,random_within_run_split,2,0.6011363636363637,0.712171052631579,0.6398026315789475,0.6011363636363637,ok,-0.03618421052631576
A41,within_run_state_permutation,3,0.5265151515151515,0.7291666666666667,0.6458333333333334,0.6388888888888888,ok,-0.09785353535353536
A41,within_run_trial_index,3,0.7104072398190044,0.5567765567765568,0.6251526251526252,0.5595776772247361,ok,0.10960281548516837
A41,random_within_run_split,3,0.6386913229018492,0.5699614890885751,0.6598202824133504,0.6002844950213371,ok,0.0641328106026437
A41,within_run_state_permutation,4,0.5732574679943101,0.521181001283697,0.5956354300385108,0.6173541963015647,ok,0.015178850223779572
A41,within_run_trial_index,4,0.7104072398190044,0.5567765567765568,0.6251526251526252,0.5595776772247361,ok,0.10960281548516837
