status,n_trials,rss_fixed_template_only,rss_template_plus_time_trend,rss_template_plus_time_and_nuisance,rss_remove_state,rss_remove_differential_term,rss_remove_nuisance_covariates,rss_state_on_template_time_nuisance,rss_h1_differential_full,rss_h1b_common_state_only,partial_r2_time_over_template,partial_r2_nuisance_over_time,partial_r2_common_state_over_controls,partial_r2_differential_over_common,partial_r2_state_terms_over_no_state,partial_r2_nuisance_contribution,subject,dataset,validity_label,seed
ok,240,4234.638138313194,3128.359930501296,2287.1738206965747,2287.1738206965747,2270.5164611133555,2294.349987769915,2270.5164611133555,2261.565741762909,2270.5164611133555,0.2612450395236292,0.26889045010556933,0.007282944318655282,0.003942151269873406,0.011196385120334496,0.014289121616912537,A15,A,fixed_ablation_grid_sensitivity,4191670987
ok,240,4465.700176973411,3605.735919454252,2787.612149797055,2787.612149797055,2779.2577835699776,2814.9238457358265,2779.2577835699776,2769.8277110951694,2779.2577835699776,0.19257097956405844,0.22689508825178317,0.0029969614774728592,0.0033930182837142997,0.006379811016098524,0.016020374657371494,A19,A,fixed_ablation_grid_sensitivity,4144292166
ok,240,5180.154481682792,3519.9611100639813,2490.2641463642026,2490.2641463642026,2483.3189395319077,2548.586151219717,2483.3189395319077,2480.216662100053,2483.3189395319077,0.3204910929759551,0.2925307784667718,0.0027889438324986138,0.0012492464751384658,0.0040347062293849545,0.026826438292832933,A23,A,fixed_ablation_grid_sensitivity,1858656174
ok,238,2921.8697498224105,2190.2724511273923,1659.7305857144845,1659.7305857144845,1651.745539660759,1719.76812187405,1651.745539660759,1644.1958985942513,1651.745539660759,0.2503866911724879,0.24222642490883883,0.004811049529636735,0.00457070467891707,0.009359764321958175,0.043943263233328644,A27,A,fixed_ablation_grid_sensitivity,1688714289
ok,238,4673.872903004205,2876.2725797611906,2292.1639282778315,2292.1639282778315,2256.4930239472615,2328.958810304834,2256.4930239472615,2252.15026256276,2256.4930239472615,0.3846061629291585,0.20307833673116482,0.015562108752566695,0.0019245622913137694,0.017456720796201974,0.032979779377043106,A31,A,fixed_ablation_grid_sensitivity,3236260630
ok,240,5436.536772934904,3741.8375036466514,3085.1308808262343,3085.1308808262343,3072.185346204346,3149.7802977299525,3072.185346204346,3064.6414731074065,3072.185346204346,0.31172405155522787,0.17550377914070725,0.004196105488536439,0.0024555397044191407,0.006641341489324604,0.02703008355341663,A35,A,fixed_ablation_grid_sensitivity,2993130778
ok,239,12084.849228541869,4209.965571696588,729.4014332566062,729.4014332566062,678.911199583997,760.4658353652627,678.911199583997,669.2787048823434,678.911199583997,0.6516327599889673,0.8267440859468449,0.06922146210651403,0.014188151127210613,0.082427488668111,0.11990956890143634,A43,A,fixed_ablation_grid_sensitivity,1063807644
ok,240,14056.777078007592,5268.5051467468365,1170.1696751867842,1170.1696751867842,1109.029993949114,1204.7268144239263,1109.029993949114,1104.6867716079385,1109.029993949114,0.6251982145331428,0.7778934170901716,0.052248560643917696,0.003916235236983923,0.055960178226626134,0.08303960833130852,A51,A,fixed_ablation_grid_sensitivity,129877223
ok,240,10522.670243950055,3854.1828542399876,729.9643857698934,729.9643857698934,663.9371794943987,677.507585147528,663.9371794943987,627.9155151878532,663.9371794943987,0.6337257782589998,0.810604630507642,0.09045264065294878,0.05425462742420406,0.13979979375899176,0.0731978077394898,A55,A,fixed_ablation_grid_sensitivity,2251066307
ok,238,7123.360237500202,5027.410168481076,4942.688387888903,4942.688387888903,4868.533261174865,4946.26600448353,4868.533261174865,4824.104734119421,4868.533261174865,0.29423614686580235,0.016851973034412215,0.01500299450310083,0.009125649281221726,0.023991731718319254,0.02469767502463005,B63,B,fixed_ablation_grid_sensitivity,2974141486
ok,239,3904.734763684468,3127.4380018229176,2694.5369696155185,2694.5369696155185,2656.916779972286,3066.349229680959,2656.916779972286,2638.0052994660687,2656.916779972286,0.19906518852207544,0.13842034021300187,0.013961652806196434,0.007117829451329105,0.020980105593992437,0.13969182833732796,B67,B,fixed_ablation_grid_sensitivity,1801775386
ok,237,8089.360664048811,5746.799138956563,5188.300709211001,5188.300709211001,5140.498198251142,5579.68565231641,5140.498198251142,5121.619669843092,5140.498198251142,0.2895854966021222,0.09718426140207292,0.00921351973199891,0.003672509488374498,0.012852192481736302,0.08209530267769671,B79,B,fixed_ablation_grid_sensitivity,1509849864
ok,239,12743.02544486634,4457.912432928832,701.8422387858737,701.8422387858737,657.4644107343792,773.9890415162641,657.4644107343792,651.2513089174012,657.4644107343792,0.6501684429481581,0.842562578483677,0.0632304891313814,0.009450096028829957,0.0720830509659699,0.15857812709908226,C83,C,fixed_ablation_grid_sensitivity,2816520327
ok,238,3339.7409605050907,2530.865615153798,2470.6951071198023,2470.6951071198023,2442.5758239798074,2494.732181788356,2442.5758239798074,2424.5380086816303,2442.5758239798074,0.24219703112212665,0.023774675223259267,0.011381122283750655,0.007384751425561498,0.018681826950302738,0.028136957393320894,C87,C,fixed_ablation_grid_sensitivity,216908146
ok,239,4262.014728897126,3494.820798325141,3141.12976008304,3141.12976008304,2858.926862054289,2999.2325624451005,2858.926862054289,2849.4304015890893,2858.926862054289,0.18000733910427147,0.10120434169660542,0.08984120987771305,0.0033216870956873645,0.0928644725858887,0.04994683064319827,A4,A,fixed_ablation_grid_sensitivity,584298882
ok,240,3240.2597732657923,2589.9098765788667,2101.675938817629,2101.675938817629,2089.6726583707623,2180.620206635218,2089.6726583707623,2085.387481136402,2089.6726583707623,0.20070918450820718,0.18851387153524002,0.005711289845007905,0.002050645213351854,0.007750223229176956,0.04367231176205766,A8,A,fixed_ablation_grid_sensitivity,2361866520
ok,240,5225.480587864286,3934.1098571192833,3028.038404420332,3028.038404420332,3001.1215542967284,3112.659552847187,3001.1215542967284,2998.63793252279,3001.1215542967284,0.2471295623495562,0.23031168055952922,0.00888920367862911,0.0008275645384582253,0.009709411827347747,0.03663157450679122,A12,A,fixed_ablation_grid_sensitivity,3060553771
ok,240,3611.65263313824,2421.4299874130747,1902.424018064289,1902.424018064289,1889.1996570653544,1911.4021146346633,1889.1996570653544,1887.411292448779,1889.1996570653544,0.3295506978728894,0.2143386230643256,0.006951321510538122,0.0009466255246697308,0.00789136673683577,0.012551425993619247,A16,A,fixed_ablation_grid_sensitivity,2701843421
ok,237,2919.850374107948,2162.4215122565247,1897.7411045433178,1897.7411045433178,1890.6026490737565,1905.022940794905,1890.6026490737565,1880.1559357419064,1890.6026490737565,0.25940673829316596,0.12240000675770579,0.0037615539087345606,0.005525599647799195,0.009266368715580509,0.013053388765293494,A20,A,fixed_ablation_grid_sensitivity,3361466698
