branch,validity_label,subject,dataset,rejection_rate,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap,permutations,seed
no_eog_regression,preprocessing_sensitivity_ablation,A50,A,0.0,240,ok,0.07821357908798182,0.14207534804846614,0.007174525955228495,0.07569721115537849,0.04543826086658569,0.5142118863049095,0.47198879551820727,0.4467787114845939,0.46253229974160204,ok,0.013234751264847078,250,1298603476
no_eog_regression,preprocessing_sensitivity_ablation,A51,A,0.0,240,ok,0.13821689590549438,0.17626956193739748,0.008259288371074702,0.18725099601593626,0.12962915176906012,0.40855263157894733,0.5467914438502675,0.5868983957219251,0.4539473684210526,ok,-0.0026438924852237866,250,1810134548
no_eog_regression,preprocessing_sensitivity_ablation,A52,A,0.0125,237,ok,0.1408238192078353,0.1400157612304639,0.021129200968134754,0.5219123505976095,0.14424026667614032,0.5957696827262045,0.6566416040100251,0.5939849624060151,0.5182138660399529,ok,0.007449587541120739,250,2835926588
no_eog_regression,preprocessing_sensitivity_ablation,A54,A,0.004166666666666667,239,ok,0.10799604363639065,0.0672332241754972,0.010038984953200991,0.6693227091633466,0.11041981929879949,0.5697115384615384,0.45416666666666666,0.45083333333333336,0.4375,ok,0.06443910256410257,250,2284548223
no_eog_regression,preprocessing_sensitivity_ablation,A55,A,0.0,240,ok,0.10418264499665937,0.20501585061463992,0.10806192896195788,0.40239043824701193,0.10596215879275116,0.6060090702947846,0.47500000000000003,0.6161764705882353,0.5997732426303855,ok,0.0737061491263172,250,1949851164
no_eog_regression,preprocessing_sensitivity_ablation,A56,A,0.0,240,ok,0.07535338771785416,0.2522166989740557,0.12431432568576817,0.4940239043824701,0.07902600794033504,0.4904761904761904,0.5977443609022557,0.6228070175438596,0.6035714285714285,ok,-0.04401629072681712,250,1304682714
no_eog_regression,preprocessing_sensitivity_ablation,A60,A,0.0,240,ok,0.0720029651715317,0.17584133480096462,0.00918297757807951,0.701195219123506,0.07815937179350704,0.5130434782608695,0.4200542005420054,0.36314363143631434,0.4043478260869565,ok,0.02589254153411097,250,94382629
no_eog_regression,preprocessing_sensitivity_ablation,B62,B,0.004166666666666667,239,ok,0.4380658618402635,0.5576957595998866,0.0072872306949209875,0.900398406374502,0.4501196507143653,0.6130952380952381,0.7615176151761518,0.8130081300813007,0.8321428571428571,ok,-0.08377855207123502,250,110457678
no_eog_regression,preprocessing_sensitivity_ablation,B63,B,0.004166666666666667,239,ok,0.236984281473416,0.7571618237437041,0.009304841366544414,0.00796812749003984,0.16282092626831365,0.3888888888888889,0.7261363636363637,0.5318181818181817,0.6349206349206349,ok,-0.22017496392496397,250,1221082487
no_eog_regression,preprocessing_sensitivity_ablation,B64,B,0.0,240,ok,0.3703939617880797,0.4206348990997734,0.0035654808612487487,0.00398406374501992,0.27806248260606653,0.5659863945578232,0.5526315789473685,0.4574898785425101,0.6571428571428571,ok,-0.09314908149494616,250,2232034222
no_eog_regression,preprocessing_sensitivity_ablation,B66,B,0.004166666666666667,239,ok,0.08639480620428663,0.17696953228573756,0.005289053358982221,0.7051792828685259,0.08973181560904661,0.6686046511627907,0.5559006211180124,0.6226708074534161,0.7848837209302326,ok,-0.02475444171601915,250,1929432987
no_eog_regression,preprocessing_sensitivity_ablation,B67,B,0.0125,237,ok,0.19124182724754524,0.1528837691001129,0.00349284825461027,0.3466135458167331,0.19047521197948325,0.589572192513369,0.5722222222222222,0.6027777777777777,0.5200534759358288,ok,0.05003713606654786,250,2635500755
no_eog_regression,preprocessing_sensitivity_ablation,B68,B,0.004166666666666667,239,ok,0.09367486516001051,0.41556428798928335,0.005460448261621398,0.9282868525896414,0.10884626562021782,0.5502645502645502,0.4604938271604938,0.3617283950617284,0.6613756613756614,ok,-0.1049382716049383,250,1737760053
